substrat_code,Bez_ST,Kurz_NT,long,base_initial,Initial,x2,Reaktion,Genese,genesecode,ausgangssubstrat,chemie_gg_code,Festgestein,geomorphologie,metamorphie,Beschreibung,Boden
198,KiC+Schottersil.-karb.reich-reich,KiC+,Kies/Schottersilik.-karb.reich-feinmaterialreich,C,C+,C,1,Ki,12,Ki,3,,Alluviale Ablagerung,,"Schwemmmaterialausauskarbonatreichem(KlK+)odersilikat.-karbonat.Mischmaterial(Siltite/Pelite,Mergel+vielKarbonat)mitschwererBodenartu/ohohemFeinbodenanteil(KarbonatgehaltimAusg.gestein35-65%)oftSchwemmmateriallehmigem-tonigFein",
157,KiK-Schotterkarb.-arm,KiK-,Kies/Schotterkarb.-feinmaterialarm,K,K-,K,6,Ki,12,Ki,4,,Alluviale Ablagerung,,Schwemmmaterial-Kiese/Bachschotterkarbonatischausuew.Hartkalk-undDolomit(>95%Karbonat),
152,KiKaSchotterkarb.,KiKa,Kies/Schotterkarbonatisch,K,K,K,6,Ki,12,Ki,4,,Alluviale Ablagerung,,Schwemmmaterial-Kiese/BachschotterausKarbonatmaterial(85-95%Karb.)mitmittleremFeinbodenanteil(lU-L),Braunlehm-RendzinabisKalkbraunlehm
158,KiK+Schotterkarb.-reich,KiK+,Kies/Schotterkarb.-feinmaterialreic,K,K+,K,6,Ki,12,Ki,4,,Alluviale Ablagerung,,Schwemmmaterial-Kiese/BachschotterausrueckstandsreichenKarbonaten(Karbonatgehalt65-85%)mitschwererBodenart(uL-L-T)u/ohohemFeinbodenanteil,
242,KiToSchottertonig,KiTo,Schwemmmaterial-Sedimentetonig-dicht,I,I+,I,3,Ki,12,Ki,1,,Alluviale Ablagerung,,"Schwemmmaterial-BachsedimenteauskarbonatarmentonreichenGesteinen(Flysch,Werfener/GosauSchichten,Tonschiefer,etc.)",
201,SaSiSandesilikatisch,SaSi,Sandesilikatisch-arm,S,S,S,4,Sa,3,Ki,1,,Alluviale Ablagerung,,"Schwemmmaterial-Au-undaeolischeFlugsandesilikatisch-armbzw.entkalkt(Quarzsand,Phosphoritsand)",
230,BlBlockhalden,BlMi,Blockhaldensilikatisch-karbonatisch,M,M,M,2,Bl,5,Bl,3,,Blockschutt,,"Haldenausvariablembzw.unbestimmtemGrobblockmaterial(Hangschutt,Bergstuerze)oderGeroell",
231,BlBlockhalden,BlSi,Blockhaldensilikatisch-arm,S,S-,S,4,Bl,5,Bl,1,,Blockschutt,,"HaldenausreinsilikatischemGrobblockmaterial(Hangschutt,Bergstuerze)oderGeroell",
232,BlBlockhalden,BlKa,Blockhaldenkarbonatisch,K,K,K,6,Bl,5,Bl,4,,Blockschutt,,"HaldenausreinkarbonatischemGrobblockmaterial(Hangschutt,Bergstuerze)oderGeroell",
233,BlBlockhalden,BlIn,Blockhaldenintermediaer-reich,I,I,I,3,Bl,5,Bl,1,,Blockschutt,,"Grobblockhaldenauskarbonatisch-silikatischemMischmaterial,ausweichenKalkmergelnbzw.Kalk-/SilikatbloeckemittonigemFeinsubstrat(BlockMoraenen)",
