"NUMEROGIS"	"Genese"	"x1"	"x2"	"Genese-neu"	"ausgangssubstrat"	"Chemie-neu"	"passendste Genese"	"passendste Substratgruppe"	"bessersubstrat"	"bs2"	"chemie_gg_code"	"grund_fuer_substrat"	"grossgruppe"	"Lithologie"	"metamorphie"	"geomorphologie"	"Textur"	"Festgestein"
5492	"Ha"				"Ha"				"x"	1			1	"Hangschutt"		"Hangschutt"		
5493	"Ha"				"Ha"				"x"	1			1	"Hangschutt"		"Hangschutt"		
5494	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
5495	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
5496	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
5497	"Rutsch"				"Ha"				"x"	1			1	"Rutschmasse"		"Rutschmasse"		
5500	"Ha"				"Ha"				"x"	1			1	"gemischte Kegel"		"gemischte Kegel"		
5501	"Ha"				"Ha"				"x"	1			1	"gemischte Kegel"		"gemischte Kegel"		
5502	"Sa"				"Org"	"O"					5		1	"Moorablagerung"		"Moorablagerung"		
5503	"Do"	"Do"	"K"		"KaDo"	"K"					4		8	"Dolomite"		"karbonatisches Festgestein"		1
5504	"Sa"				"Ki"				"x"	1			1	"gemischte Kegel"		"gemischte Kegel"		
5681	"Ki Sa"				"Ki"				"x"	1			2	"Eisrandsedimente"		"Eisrandsedimente"		
5682	"Mo"				"Mo"				"x"	1			2	"Moraene undifferenziert"		"Moraene undifferenziert"		
5683	"Mo"				"Mo"				"x"	1			2	"Ausschmelzmoraene"		"Ausschmelzmoraene"		
5684	"Ha"				"Ha"				"x"	1			2	"Hangschutt"		"Hangschutt"		
5685	"Ki"				"Ki"				"x"	1			2	"gemischte Ablagerung"		"gemischte Ablagerung"		
5686	"Ki"				"Ki"				"x"	1			2	"Alluvialer Schwemmfaecher"		"Alluvialer Schwemmfaecher"		
5687	"Rutsch"				"Ha"				"x"	1			2	"Rutschmasse"		"Rutschmasse"		
5688	"Misch"				"Ki"				"x"	1			48	"gemischte Ablagerung"		"gemischte Ablagerung"		
